ID,PedidoID,Tipo_Venda,Produto ID,Produto,Quantidade,Preço Unitário,Total,Margem do Pedido,Custo Unitário,Custo Total,Quantidade Disponível Itens
4fc61aca,2647,Pedido,1cdf5fd3,Serviço de lubrificação de Eixo comum,1,20,20,"100,00%",,0,1
e3219976,2647,Pedido,5712c963,Serviço de Manutenção de Movimento de Direção,1,30,30,"100,00%",,0,94
44228b0c,2647,Pedido,d972cf81,Serviço de Manutenção de Movimento Central,1,30,30,"100,00%",,0,10
a7d9fbd5,2647,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
68e97d05,2647,Pedido,41,Banco MTB preto - Selim,1,40,40,"50,00%",20,20,5
89496773,2648,Pedido,ba9e6c41,Roda livre 7V - Catraca,1,50,50,"74,00%","13,05","13,05",10
8bf03aba,2649,Pedido,5712c963,Serviço de Manutenção de Movimento de Direção,1,30,30,"100,00%",,0,95
57920b74,2650,Pedido,111,Corrente fina 116L Tec,1,30,30,"62,00%","11,32","11,32",8
b53221d8,2650,Pedido,7b2f08f8,Serviço de instalação de corrente fina c/marcha,1,15,15,"100,00%",,0,5
c32f7642,2651,Pedido,62,Cabo de câmbio,2,5,10,"88,00%","0,59","1,18",140
f2fa9a78,2651,Pedido,dd98c533,30 - Regulagem de câmbios,1,30,30,"100,00%",0,0,99
599c2158,2652,Pedido,131,Eixo traseiro com rolamento,1,30,30,"54,00%","15,99","15,99",9
97883463,2653,Pedido,a045adf8,Serviço de centragem de roda,1,30,30,"100,00%",,0,5
a4701e4f,2654,Pedido,17900c82,"24""/26"" Serviço de montagem de bicicleta",1,150,150,"100,00%",,0,1
4499005f,2656,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"66,00%","8,61","8,61",9
63e4a222,2656,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
7ecae315,2655,Pedido,100,Capa para Selim em courvin,1,30,30,"41,00%","8,87","8,87",3
61625ca8,2622,Pedido,511f2753,Serviço de instalação de pneu,2,10,20,"100,00%",,0,5
d64a3e6f,2657,Pedido,233,Pneu 29 Beach VR Preto,1,70,70,"54,00%","32,09","32,09",9
b2f37855,2657,Pedido,f7eab828,Camara 29'' bico longo Paco,1,35,35,"61,00%","13,55","13,55",8
1a36b31d,2657,Pedido,511f2753,Serviço de instalação de pneu,1,15,15,"100,00%",,0,5
3cd3cac6,2658,Pedido,52,"Bicicleta MTB 26"" usada",1,300,300,"50,00%",150,150,1
fa5bc798,2659,Pedido,76e4eadf,Pedana fina alumínio preta par,2,15,30,"60,00%","6,47","12,94",7
898f4ad0,2660,Pedido,38,Banco Beach Elleven - Selim,1,80,80,"58,00%","27,14","27,14",1
c1ea0595,2661,Pedido,a420a9a0,Pastilha de freio a disco mecânico retangular c/cupilha,1,25,25,"60,00%",10,10,12
623746c1,2661,Pedido,127,Disco de freio 160mm,1,30,30,"50,00%",10,10,12
b10aaa95,2661,Pedido,d68f520d,Serviço de instalação de sistema de freios,1,25,25,"100,00%",,0,5
fc015ef9,2662,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
5735c8d7,2662,Pedido,dd98c533,30 - Regulagem de câmbios,1,30,30,"100,00%",0,0,99
560ac056,2663,Pedido,799d7355,Pneu Levorin Excess EX 26X1.75,1,60,60,"50,00%",30,30,18
e0668e99,2663,Pedido,511f2753,Serviço de instalação de pneu,1,10,10,"100,00%",,0,5
abd7a45a,2663,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
f88ea1fb,2664,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
33a7535e,2665,Pedido,f7eab828,Camara 29'' bico longo Paco,1,35,35,"61,00%","13,55","13,55",3
3ddcc2b9,2665,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
b9d7c9db,2666,Pedido,f1097bf5,Cabo de freio Ceci importado,1,5,5,"86,00%","0,71","0,71",128
452a3cd0,2666,Pedido,f8bbd447,Conduíte Metro,1,10,10,"50,00%",5,5,20
2a263c17,2667,Pedido,182,Estojo Conserto de Câmara Vulcaflex,1,20,20,"54,00%","9,26","9,26",2
8a19f4fd,2668,Pedido,46095f39,Eixo Mov. Central 34.7 5U,1,15,15,"66,00%","5,16","5,16",10
bf904e10,2668,Pedido,027dfe64,"Mov. Centr. 34,7m - kit comum",1,35,35,"83,00%",6,6,5
887113f2,2668,Pedido,82cf8c94,Serviço de instalação de movimento central,1,20,20,"100,00%",,0,5
9b15c3d4,2668,Pedido,c2d06765,Banco 2 molas Elleven Preto com Cinza - Selim,1,60,60,"55,00%","27,14","27,14",8
2957f73a,2669,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"66,00%","8,61","8,61",8
162f66e0,2669,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
ef4771cd,2670,Pedido,8f1d0446,Engrenagem 40 dentes preto,1,30,30,"88,00%","3,75","3,75",2
470226ca,2670,Pedido,5712c963,Serviço de Manutenção de Movimento de Direção,1,30,30,"100,00%",,0,93
fa304783,2670,Pedido,afdb5984,80 - Lubrificação Geral,1,40,40,"100,00%",,0,1
c0520f53,2671,Pedido,f7eab828,Camara 29'' bico longo Paco,1,35,35,"61,00%","13,55","13,55",2
63dddc0c,2671,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
5710b8ce,2672,Pedido,5ef8ef04,Gancheira Nek 43 P/Quadro Caloi Elite 10 e 20,1,60,60,"57,00%","30,24","30,24",2
da5d4838,2672,Pedido,93,Câmbio traseiro comum s/gancheira,1,50,50,"81,00%","9,3","9,3",24
79927f73,2672,Pedido,98812ef6,Serviço de sangria de freio hidráulico,1,60,60,"100,00%",,0,5
ebd978ff,2672,Pedido,af803c16,Serviço de instalação de Gancheira de Quadro,1,10,10,"100,00%",,0,98
67b29f68,2670,Pedido,249,Punho comum cores - par,1,20,20,"74,00%","3,89","3,89",14
7d1eb850,2672,Pedido,249,Punho comum cores - par,1,20,20,"74,00%","3,89","3,89",3
affb999d,2673,Pedido,db176db2,Serviço de Ajustes em Geral,1,15,15,"100,00%",,0,1
652b3a62,2674,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
dbe7ef01,2674,Pedido,e64f0197,Tele busca e entrega,1,5,5,"100,00%",,0,1
